八十八|八十八|Bubble 88|10209 King George Hwy|Surrey|BC|V3T2W6|$|true|1-778-395-8899|{"Mon-Thu":"10:30am - 12:00am","Fri-Sat":"10:30am - 1:00am","Sun":"10:30am - 12:00am"}||
潮楼海鲜酒家|潮樓海鮮酒家|Yan's Garden Chinese Restaurant|9948 Lougheed Hwy|Burnaby|BC|V3N4M7|$$|false|1-604-421-8823|{"Mon-Sun":"9:00am - 10:00pm"}|http://www.yansgardenrestaurant.ca/|
湘缘湖南食府|湘緣湖南食府|Alvin Garden|4850 Imperial Street|Burnaby|BC||$|false|1-604-437-0828|{}||
重庆大饭店|重慶大飯店|Szechuan Chongqing|2808 Commercial Dr|Vancouver|BC|V5N4C6|$$|false|1-604-254-7434|{}||
温部落|溫部落|PIV Cafe|128-8531 Alexandra Road|Richmond|BC|V6X1C3|||1-604-765-1266|{"Mon-Sat":"2pm - 12am","Sun":"Closed"}||
丽都餐厅|麗都餐廳|Lido Restaurant|150-4231 Hazelbridge Way|Richmod|BC|V6X3L7|$|false|1-604-231-0055|{"Mon":"7:15am - 10:00pm","Tue":"7:15am - 6:00pm","Wed-Sun":"7:15am - 10:00pm"}||
欢欣餐厅|歡欣餐廳|Alleluia Cafe|188 - 8131 Westminster Hwy|Richmod|BC|V6X1A7|$$|false|1-604-271-8266|{}||
一风堂|一風堂|Ipputan Ramen Noodle House|1190-4311 Hazelbridge Way|Richmod|BC|V6X1E4|$|false|1-604-304-3351|{"Mon-Sun":"11:00am - 11:00pm"}||
添味馆|添味館|Timmy Kitchen|100-3791 Bayview Street|Richmond|BC|V7E3B6|$$|false|1-604-275-1112|{"Mon":"10:30am - 10:00pm","Tue":"Closed","Wed-Sun":"10:30am - 10:00pm"}|http://www.timmykitchen.com/|
乡音阁|鄉音閣|Yang's Chinese Noodle Restaurant|3048 Kingsway|Vancouver|BC|V5R5J7|$|true|1-604-558-3048|{}||https://www.facebook.com/pages/%E9%84%89%E9%9F%B3%E9%96%A3-Yangs-Hotpot-BBQ-Restaurant/103960489696657
一品川菜|一品川菜|Szechuan Delicious Restaurant|6610 No. 3 Road|Richmond|BC|V6Y2C1|$$|true|1-604-276-1780|{"Mon-Sun":"11am - 3pm, 5pm - 10pm"}||
马来槟城美食|馬來檳城美食|Penang Delight Cafe|3885 Rupert St|Vancouver|BC|V5R2G7|$|false|1-604-566-9898|{"Mon":"11am-3pm and 5pm-9:30pm","Tue":"Closed","Wed-Sun":"11am-3pm and 5pm-9:30pm"}|http://www.penangdelight.com/|
马来槟城美食|馬來檳城美食|Penang Delight Cafe|1316 West 73rd Ave|Vancouver|BC|V5R2G7|$|false|1-604-566-9898|{"Mon":"11am-3pm and 5pm-9:30pm","Tue":"Closed","Wed-Sun":"11am-3pm and 5pm-9:30pm"}|http://www.penangdelight.com/|
老油条大牌档|老油條大牌檔|Double Double Restaurant & Wonton|128-4600 No. 3 Road|Richmond|BC|V6X4E8|$|true|1-604-370-3346|{"Mon":"10:30am - 10:00pm","Tue":"Closed","Wed-Sun":"10:30am - 10:00pm"}||https://www.facebook.com/pages/Double-Double-Restaurant/133427006801245
老四川|老四川|Golden Szechuan Restaurant|170-3631 No. 3 Road|Richmond|BC|V6X2B9|$$|false|1-604-288-9058|{"Mon-Thu":"11am - 10pm","Fri-Sun":"11am - 11pm"}|http://www.goldenszechuanrestaurant.com/index_chinese.html|
北京面馆|北京麵館|Beijing Noodle House|190-6451 Buswell St|Richmond|BC|V6Y4B6|$|false|1-604-278-2323|{}||
鸿星海鲜酒家|鴻星海鮮酒家|Red Star Seafood|2200-8181 Cambie Road|Richmond|BC|V6X3X9|$$$|false|1-604-270-3003|{"Mon-Sun":"10:30am - 3:00pm and 5:00pm - 10:00pm"}|http://redstarvancouver.com/|
鸿星海鲜酒家|鴻星海鮮酒家|Red Star Seafood|8298 Granville St|Vancouver|BC|V6P4Z6|$$$|false|1-604-261-8389|{"Mon-Sun":"10:30am - 3:00pm and 5:00pm - 10:00pm"}|http://redstarvancouver.com/|
胡同|胡同|Hu Tong|2942 W Broadway|Vancouver|BC|V6K2G6|$$|false|1-604-559-6622|{}||
孙尚湘|孫尚湘|Spicy Beauty Restaurant|1707 kingsway|Vancouver|BC|V5N2S4|||1-604-559-6611|{}||http://weibo.com/p/1005052961409125
天天渔港|天天漁港|Tin Tin Seafood Harbour|3711 No. 3 Road|Richmond|BC|V6X2B8|$$|false|1-604-370-3883|{"Mon-Sun":"8:30am - 4:00pm and 5:00pm - 10:30pm"}||
洪师傅牛肉面|洪師傅牛肉麵|Chef Hung Taiwanese Beef Noodle|2800-4151 Hazelbridge Way|Richmond|BC|V6X4J7|$$||1-604-295-9357|{"Mon-Thu":"11am - 9pm","Fri-Sat":"11am - 9:30pm","Sun":"11am - 9pm"}|http://www.chefhungnoodle.com/|
洪师傅牛肉面|洪師傅牛肉麵|Chef Hung Taiwanese Beef Noodle|1560 Marine Drive|West Vancouver|BC|V7V1H8|$$||1-778-279-8822|{"Mon-Thu":"11am - 9pm","Fri-Sat":"11am - 9:30pm","Sun":"11am - 9pm"}|http://www.chefhungnoodle.com/|
洪师傅牛肉面|洪師傅牛肉麵|Chef Hung Taiwanese Beef Noodle|3313 Shrum Lane|Vancouver|BC|V6V0B9|$$||1-604-228-8765|{"Mon-Thu":"11am - 9pm","Fri-Sat":"11am - 9:30pm","Sun":"11am - 9pm"}|http://www.chefhungnoodle.com/|
沸点臭臭锅|沸點臭臭鍋|Boiling Point|5276 Kingsway|Burnaby|BC|V5H2E9|$$|false|1-604-620-9737|{"Mon-Sun":"11am - 11pm"}||
沸点臭臭锅|沸點臭臭鍋|Boiling Point|130-4800 No. 3 Road|Richmond|BC|V6X3A6|$$|false|1-604-284-5168|{"Mon-Sun":"11am - 11pm"}||
新瑞华海鲜酒家|新瑞華海鮮酒家|Sun Sui Wah Seafood Restaurant|102-4940 No. 3 Road|Richmond|BC|V6X3A5|$$$|false|1-604-273-8208|{"Mon-Sun":"10:00am - 3:00pm and 5:00pm - 10:30pm"}|http://www.sunsuiwah.com/|
新瑞华海鲜酒家|新瑞華海鮮酒家|Sun Sui Wah Seafood Restaurant|3888 Main St|Vancouver|BC|V5V3N9|$$$|false|1-604-872-8822|{"Mon-Sun":"10:00am - 3:00pm and 5:00pm - 10:30pm"}|http://www.sunsuiwah.com/|
本色时尚餐厅|本色時尚餐廳|Benss Cafe|5628 Victoria Drive|Vancouver|BC|V5P3W2|$|true|1-604-558-3839|{}||https://www.facebook.com/pages/Benss-Cafe/160358827386783
万峦猪脚|萬巒豬腳|Corner 23|4008 Cambie St|Vancouver|BC|V5Z2X8|$$|false|1-604-879-8815|{}||
鹿园鱼汤米线|鹿園魚湯米線|Deer Garden Signatures|1118-3779 Sexsmith Road|Richmond|BC|V6X3Z9|$$|true|1-604-278-3779|{"Mon-Sun":"11am - 11pm"}||http://www.deergarden.ca/
鹿园鱼汤米线|鹿園魚湯米線|Deer Garden Signatures|2015-8580 Alexandra Road|Richmond|BC|V6X4B3|$$|true|1-604-278-9229|{"Mon-Sun":"11am - 11pm"}||http://www.deergarden.ca/
鹿园鱼汤米线|鹿園魚湯米線|Deer Garden Signatures|6270 Fraser St|Vancouver|BC|V5W3A1|$$|true|1-604-322-6116|{"Mon-Sun":"11am - 11pm"}||http://www.deergarden.ca/
串酷|串酷|Chuan BBQ Restaurant|130 - 8291 Westminster Hwy|Richmond|BC|V6X1A7|$||1-778-297-5577|{"Mon-Sun":"5pm - 12am"}||
农场火锅|農場火鍋|Claypot Hotpot and BBQ|105-8291 Alexandra Road|Richmond|BC|V6X1C3|$$$||1-604-284-5181|{}||
聚湘园酒楼|聚湘園酒樓|Star Anise Restaurant|3502 Kingsway|Vancouver|BC|V5R5X7|$$||1-604-559-8488|{"Mon-Sun":"9:00am - 11:00pm"}||
上海人家|上海人家|Shanghai House Restaurant|6340 No. 3 Road|Richmond|BC|V6Y2B3|$$||1-604-278-0709|{"Mon-Sun":"10:am - 10:pm"}||https://www.facebook.com/pages/Shanghai-House-%E4%B8%8A%E6%B5%B7%E4%BA%BA%E5%AE%B6/143538115698972
百珍楼|百珍樓|Bamboo Grove|6920 No. 3 Road|Richmond|BC|V6Y2C5|$$||1-604-278-9585|{}||
台湾高家小馆|台灣高家小館|Kao's Family Restaurant|1085-8580 Alexandra Road|Richmond|BC|V6X4B3|$|true|1-604-278-6606|{}||
华麟海鲜酒家|華麟海鮮酒家|Wah Lun Chinese Restaurant|4524 Hastings Street|Burnaby|BC|V5C2K6|$$||1-604-294-8059|{}||
王府井京川粵名菜|王府井京川粵名菜|Imperial Court Beijing Cuisine|6360 No. 3 Road|Richmond|BC|V6Y2B3|$$||1-604-270-6169|{"Mon-Sun":"8:30am - 3:00pm and 5:00pm - 10:00pm"}||
大街小厨|大街小廚|Ramen House|2893 West Broadway|Vancouver|BC|V6K2G6|$|false|1-604-737-2500|||
圆香生活餐饮|圓香生活餐飲|Pearl Castle Cafe|1782-6060 Minoru Blvd|Richmond|BC|V6Y2V7|$|true|1-604-279-0177|{"Mon-Thu":"9:30am - 12:00am","Fir-Sat":"9:30am - 1:00am","Sun":"11:am - 12:00am"}|http://www.pearlcastle.com/|
圆香生活餐饮|圓香生活餐飲|Pearl Castle Cafe|1128-3799 Sexsmith Road|Richmond|BC|V6X3Z9|$|true|1-604-270-3939|{"Sun-Thu":"11:30am - 1:00am","Fir-Sat":"11:30am - 2:00am"}|http://www.pearlcastle.com/|
圆香生活餐饮|圓香生活餐飲|Pearl Castle Cafe|3000-10153 King George Hwy|Surrey|BC|V3T2W1|$|true|1-604-279-0177|{"Sun-Thu":"10:30am - 12:00am","Fir-Sat":"10:30am - 1:00am"}|http://www.pearlcastle.com/|
圆香生活餐饮|圓香生活餐飲|Pearl Castle Cafe|14-4429 Kingsway|Burnaby|BC|V5H2A1|$|true|1-604-559-7929|{"Sun-Thu":"11:0am - 1:00am","Fir-Sat":"11:00am - 2:00am"}|http://www.pearlcastle.com/|
苏杭人家|蘇杭人家|Suhang Restaurant|100-8291 Ackroyd Road|Richmond|BC|V6X3J9|$$|false|1-604-278-7787|{"Mon-Sun":"11:00am - 3:00pm and 5:00pm - 10:00pm"}|http://www.suhang.ca/|
食为先酒家|食為先酒家|Top Cantonese Cuisine Restaurant|2752 Kingsway|Vancouver|BC|V5R3M6|$$$|false|1-604-436-1623|{}||
上海粗菜馆|上海粗菜館|Shanghai Elan Restaurant|1687-4500 Kingsway|Burnaby|BC|V5H4V2|$$||1-604-569-2955|{"Mon-Sun":"5:00pm - 10:00pm"}|http://www.shanghaielanrest.com/|
南海渔村海鲜酒家|南海漁村海鮮酒家|South Ocean Seafood|4751 Garden City Road|Richmond|BC|V6X3M7|$$$||1-604-278-1233|{"Mon-Sun":"9:00am - 3:00pm and 5:00pm - 11:00pm}||
叙香园海鲜酒楼|敘香園海鮮酒樓|Shiang Garden Seafood Restaurant|4540 No. 3 Road|Richmond|BC|V6X4E8|$$$||1-604-273-8858|{"Mon-Sun":"10:00am - 3:00pm and 5:00pm - 10:30pm"}|| 
珍珠小火锅|珍珠小火鍋|Pearl Hot Pot|7154 Sperling Ave|Burnaby|BC|V5E2W5|$$||1-604-516-0238|{"Mon-Tue":"12:00pm - 11:00pm","Thu-Sun":"12:00pm - 11:00pm"}||https://www.facebook.com/pearlhotpotrestaurant
麦奀记传统云吞面食|麥奀記傳統雲吞麵食|MaxNoodle House|8291 Alexandra Road|Richmond|BC|V6X1C3|$|true|1-604-231-8141|{}||https://www.facebook.com/pages/Maks-Noodle-Restaurant/127470563955260 
宁波海鲜酒家|寧波海鮮酒家|Ningbo Seafood Restaurant|4380 No. 3 Road|Richmond|BC|V6X4E8|$$$||1-604-800-6677|{"Mon-Sun":"10:30am - 3:00pm and 5:30pm - 10:00pm"}|http://ningboseafoodrestaurant.com/| 
金粤轩海鲜酒家|金粵軒海鮮酒家|Empire Chinese Cuisine|8251 Alexandra Road|Richmond|BC|V6X1C3|$$$||1-604-303-9780|{"Mon-Sun"9:00am - 3:00pm and 5:30pm - 10:30pm"}||
白王|白王|China King Restaurant|202-15920 Fraser Hwy|Surrey|BC|V4N0X8|$||1-604-599-4899|{"Mon-Sun":"11:30am - 10:00pm"}|http://www.chinaking.biz/|
胖娃京川菜馆|胖娃京川菜館|Fatty Hi|1101-8328 Capstan Way|Richmond|BC|V6X2H6|$$||1-604-370-0658|{}||
前门饭店|前門飯店|Lucky Gate Chinese Restaurant|1139 Austin Ave|Coquitlam|BC|V3K3P4|$$||1-604-939-8630|{}||
明月楼海鲜酒家|明月樓海鮮酒家|HML Seafood Restaurant|200-5890 No. 3 Road|Richmond|BC|V6X1A7|$$||1-604-270-8888|{"Mon-Sun":"9:00am - 3:00pm and 5:00pm - 10:30pm"}||
